# One row per physical asset installed at a venue.
# venue_code: must match a code in the depots_venues sheet.
# asset_type: DVR | Camera | Power Supply | Hard Drive | Cable
# label: unique human-readable identifier for this asset.
# serial_number: leave blank if unknown.
# install_date: format YYYY-MM-DD. Default 2026-01-01.
# status: Operational | Faulty | Replaced
# notes: any free-text notes.
venue_code,asset_type,label,serial_number,install_date,status,notes
P_NA02,Power Supply,"Power Supply 01/01/2026 P_NA02 #1",,2026-01-01,Operational,
P_NA02,Power Supply,"Power Supply 01/01/2026 P_NA02 #2",,2026-01-01,Operational,
P_NA02,Hard Drive,"Hard Drive 01/01/2026 P_NA02 #1",,2026-01-01,Operational,
P_NA02,Hard Drive,"Hard Drive 01/01/2026 P_NA02 #2",,2026-01-01,Operational,
P_NA02,Cable,"Cable 01/01/2026 P_NA02 #1",,2026-01-01,Operational,
P_NA02,Cable,"Cable 01/01/2026 P_NA02 #2",,2026-01-01,Operational,
P_NA03,DVR,"DVR 01/01/2026 P_NA03 #1",,2026-01-01,Operational,
P_NA03,DVR,"DVR 01/01/2026 P_NA03 #2",,2026-01-01,Operational,
P_NA03,Camera,"Camera 01/01/2026 P_NA03 #1",,2026-01-01,Operational,
P_NA03,Camera,"Camera 01/01/2026 P_NA03 #2",,2026-01-01,Operational,
P_NA03,Power Supply,"Power Supply 01/01/2026 P_NA03 #1",,2026-01-01,Operational,
P_NA03,Power Supply,"Power Supply 01/01/2026 P_NA03 #2",,2026-01-01,Operational,
P_NA03,Hard Drive,"Hard Drive 01/01/2026 P_NA03 #1",,2026-01-01,Operational,
P_NA03,Hard Drive,"Hard Drive 01/01/2026 P_NA03 #2",,2026-01-01,Operational,
P_NA03,Cable,"Cable 01/01/2026 P_NA03 #1",,2026-01-01,Operational,
P_NA03,Cable,"Cable 01/01/2026 P_NA03 #2",,2026-01-01,Operational,
P_WY01,DVR,"DVR 01/01/2026 P_WY01 #1",,2026-01-01,Operational,
P_WY01,DVR,"DVR 01/01/2026 P_WY01 #2",,2026-01-01,Operational,
P_WY01,Camera,"Camera 01/01/2026 P_WY01 #1",,2026-01-01,Operational,
P_WY01,Camera,"Camera 01/01/2026 P_WY01 #2",,2026-01-01,Operational,
P_WY01,Power Supply,"Power Supply 01/01/2026 P_WY01 #1",,2026-01-01,Operational,
P_WY01,Power Supply,"Power Supply 01/01/2026 P_WY01 #2",,2026-01-01,Operational,
P_WY01,Hard Drive,"Hard Drive 01/01/2026 P_WY01 #1",,2026-01-01,Operational,
P_WY01,Hard Drive,"Hard Drive 01/01/2026 P_WY01 #2",,2026-01-01,Operational,
P_WY01,Cable,"Cable 01/01/2026 P_WY01 #1",,2026-01-01,Operational,
P_WY01,Cable,"Cable 01/01/2026 P_WY01 #2",,2026-01-01,Operational,
P_WY02,DVR,"DVR 01/01/2026 P_WY02 #1",,2026-01-01,Operational,
P_WY02,DVR,"DVR 01/01/2026 P_WY02 #2",,2026-01-01,Operational,
P_WY02,Camera,"Camera 01/01/2026 P_WY02 #1",,2026-01-01,Operational,
P_WY02,Camera,"Camera 01/01/2026 P_WY02 #2",,2026-01-01,Operational,
P_WY02,Power Supply,"Power Supply 01/01/2026 P_WY02 #1",,2026-01-01,Operational,
P_WY02,Power Supply,"Power Supply 01/01/2026 P_WY02 #2",,2026-01-01,Operational,
P_WY02,Hard Drive,"Hard Drive 01/01/2026 P_WY02 #1",,2026-01-01,Operational,
P_WY02,Hard Drive,"Hard Drive 01/01/2026 P_WY02 #2",,2026-01-01,Operational,
P_WY02,Cable,"Cable 01/01/2026 P_WY02 #1",,2026-01-01,Operational,
P_WY02,Cable,"Cable 01/01/2026 P_WY02 #2",,2026-01-01,Operational,
P_WY03,DVR,"DVR 01/01/2026 P_WY03 #1",,2026-01-01,Operational,
P_WY03,DVR,"DVR 01/01/2026 P_WY03 #2",,2026-01-01,Operational,
P_WY03,Camera,"Camera 01/01/2026 P_WY03 #1",,2026-01-01,Operational,
P_WY03,Camera,"Camera 01/01/2026 P_WY03 #2",,2026-01-01,Operational,
P_WY03,Power Supply,"Power Supply 01/01/2026 P_WY03 #1",,2026-01-01,Operational,
P_WY03,Power Supply,"Power Supply 01/01/2026 P_WY03 #2",,2026-01-01,Operational,
P_WY03,Hard Drive,"Hard Drive 01/01/2026 P_WY03 #1",,2026-01-01,Operational,
P_WY03,Hard Drive,"Hard Drive 01/01/2026 P_WY03 #2",,2026-01-01,Operational,
P_WY03,Cable,"Cable 01/01/2026 P_WY03 #1",,2026-01-01,Operational,
P_WY03,Cable,"Cable 01/01/2026 P_WY03 #2",,2026-01-01,Operational,
P_TAM01,DVR,"DVR 01/01/2026 P_TAM01 #1",,2026-01-01,Operational,
P_TAM01,DVR,"DVR 01/01/2026 P_TAM01 #2",,2026-01-01,Operational,
P_TAM01,Camera,"Camera 01/01/2026 P_TAM01 #1",,2026-01-01,Operational,
P_TAM01,Camera,"Camera 01/01/2026 P_TAM01 #2",,2026-01-01,Operational,
P_TAM01,Power Supply,"Power Supply 01/01/2026 P_TAM01 #1",,2026-01-01,Operational,
P_TAM01,Power Supply,"Power Supply 01/01/2026 P_TAM01 #2",,2026-01-01,Operational,
P_TAM01,Hard Drive,"Hard Drive 01/01/2026 P_TAM01 #1",,2026-01-01,Operational,
P_TAM01,Hard Drive,"Hard Drive 01/01/2026 P_TAM01 #2",,2026-01-01,Operational,
P_TAM01,Cable,"Cable 01/01/2026 P_TAM01 #1",,2026-01-01,Operational,
P_TAM01,Cable,"Cable 01/01/2026 P_TAM01 #2",,2026-01-01,Operational,
P_TAM02,DVR,"DVR 01/01/2026 P_TAM02 #1",,2026-01-01,Operational,
P_TAM02,DVR,"DVR 01/01/2026 P_TAM02 #2",,2026-01-01,Operational,
P_TAM02,Camera,"Camera 01/01/2026 P_TAM02 #1",,2026-01-01,Operational,
P_TAM02,Camera,"Camera 01/01/2026 P_TAM02 #2",,2026-01-01,Operational,
P_TAM02,Power Supply,"Power Supply 01/01/2026 P_TAM02 #1",,2026-01-01,Operational,
P_TAM02,Power Supply,"Power Supply 01/01/2026 P_TAM02 #2",,2026-01-01,Operational,
P_TAM02,Hard Drive,"Hard Drive 01/01/2026 P_TAM02 #1",,2026-01-01,Operational,
P_TAM02,Hard Drive,"Hard Drive 01/01/2026 P_TAM02 #2",,2026-01-01,Operational,
P_TAM02,Cable,"Cable 01/01/2026 P_TAM02 #1",,2026-01-01,Operational,
P_TAM02,Cable,"Cable 01/01/2026 P_TAM02 #2",,2026-01-01,Operational,
P_TAM03,DVR,"DVR 01/01/2026 P_TAM03 #1",,2026-01-01,Operational,
P_TAM03,DVR,"DVR 01/01/2026 P_TAM03 #2",,2026-01-01,Operational,
P_TAM03,Camera,"Camera 01/01/2026 P_TAM03 #1",,2026-01-01,Operational,
P_TAM03,Camera,"Camera 01/01/2026 P_TAM03 #2",,2026-01-01,Operational,
P_TAM03,Power Supply,"Power Supply 01/01/2026 P_TAM03 #1",,2026-01-01,Operational,
P_TAM03,Power Supply,"Power Supply 01/01/2026 P_TAM03 #2",,2026-01-01,Operational,
P_TAM03,Hard Drive,"Hard Drive 01/01/2026 P_TAM03 #1",,2026-01-01,Operational,
P_TAM03,Hard Drive,"Hard Drive 01/01/2026 P_TAM03 #2",,2026-01-01,Operational,
P_TAM03,Cable,"Cable 01/01/2026 P_TAM03 #1",,2026-01-01,Operational,
P_TAM03,Cable,"Cable 01/01/2026 P_TAM03 #2",,2026-01-01,Operational,
P_TAM04,DVR,"DVR 01/01/2026 P_TAM04 #1",,2026-01-01,Operational,
P_TAM04,DVR,"DVR 01/01/2026 P_TAM04 #2",,2026-01-01,Operational,
P_TAM04,Camera,"Camera 01/01/2026 P_TAM04 #1",,2026-01-01,Operational,
P_TAM04,Camera,"Camera 01/01/2026 P_TAM04 #2",,2026-01-01,Operational,
P_TAM04,Power Supply,"Power Supply 01/01/2026 P_TAM04 #1",,2026-01-01,Operational,
P_TAM04,Power Supply,"Power Supply 01/01/2026 P_TAM04 #2",,2026-01-01,Operational,
P_TAM04,Hard Drive,"Hard Drive 01/01/2026 P_TAM04 #1",,2026-01-01,Operational,
P_TAM04,Hard Drive,"Hard Drive 01/01/2026 P_TAM04 #2",,2026-01-01,Operational,
P_TAM04,Cable,"Cable 01/01/2026 P_TAM04 #1",,2026-01-01,Operational,
P_TAM04,Cable,"Cable 01/01/2026 P_TAM04 #2",,2026-01-01,Operational,
P_TAM05,DVR,"DVR 01/01/2026 P_TAM05 #1",,2026-01-01,Operational,
P_TAM05,DVR,"DVR 01/01/2026 P_TAM05 #2",,2026-01-01,Operational,
P_TAM05,Camera,"Camera 01/01/2026 P_TAM05 #1",,2026-01-01,Operational,
P_TAM05,Camera,"Camera 01/01/2026 P_TAM05 #2",,2026-01-01,Operational,
P_TAM05,Power Supply,"Power Supply 01/01/2026 P_TAM05 #1",,2026-01-01,Operational,
P_TAM05,Power Supply,"Power Supply 01/01/2026 P_TAM05 #2",,2026-01-01,Operational,
P_TAM05,Hard Drive,"Hard Drive 01/01/2026 P_TAM05 #1",,2026-01-01,Operational,
P_TAM05,Hard Drive,"Hard Drive 01/01/2026 P_TAM05 #2",,2026-01-01,Operational,
P_TAM05,Cable,"Cable 01/01/2026 P_TAM05 #1",,2026-01-01,Operational,
P_TAM05,Cable,"Cable 01/01/2026 P_TAM05 #2",,2026-01-01,Operational,
P_TAM06,DVR,"DVR 01/01/2026 P_TAM06 #1",,2026-01-01,Operational,
P_TAM06,DVR,"DVR 01/01/2026 P_TAM06 #2",,2026-01-01,Operational,
P_TAM06,Camera,"Camera 01/01/2026 P_TAM06 #1",,2026-01-01,Operational,
P_TAM06,Camera,"Camera 01/01/2026 P_TAM06 #2",,2026-01-01,Operational,
P_TAM06,Power Supply,"Power Supply 01/01/2026 P_TAM06 #1",,2026-01-01,Operational,
P_TAM06,Power Supply,"Power Supply 01/01/2026 P_TAM06 #2",,2026-01-01,Operational,
P_TAM06,Hard Drive,"Hard Drive 01/01/2026 P_TAM06 #1",,2026-01-01,Operational,
P_TAM06,Hard Drive,"Hard Drive 01/01/2026 P_TAM06 #2",,2026-01-01,Operational,
P_TAM06,Cable,"Cable 01/01/2026 P_TAM06 #1",,2026-01-01,Operational,
P_TAM06,Cable,"Cable 01/01/2026 P_TAM06 #2",,2026-01-01,Operational,
P_TAM07,DVR,"DVR 01/01/2026 P_TAM07 #1",,2026-01-01,Operational,
P_TAM07,DVR,"DVR 01/01/2026 P_TAM07 #2",,2026-01-01,Operational,
P_TAM07,Camera,"Camera 01/01/2026 P_TAM07 #1",,2026-01-01,Operational,
P_TAM07,Camera,"Camera 01/01/2026 P_TAM07 #2",,2026-01-01,Operational,
P_TAM07,Power Supply,"Power Supply 01/01/2026 P_TAM07 #1",,2026-01-01,Operational,
P_TAM07,Power Supply,"Power Supply 01/01/2026 P_TAM07 #2",,2026-01-01,Operational,
P_TAM07,Hard Drive,"Hard Drive 01/01/2026 P_TAM07 #1",,2026-01-01,Operational,
P_TAM07,Hard Drive,"Hard Drive 01/01/2026 P_TAM07 #2",,2026-01-01,Operational,
P_TAM07,Cable,"Cable 01/01/2026 P_TAM07 #1",,2026-01-01,Operational,
P_TAM07,Cable,"Cable 01/01/2026 P_TAM07 #2",,2026-01-01,Operational,
P_TAM08,DVR,"DVR 01/01/2026 P_TAM08 #1",,2026-01-01,Operational,
P_TAM08,DVR,"DVR 01/01/2026 P_TAM08 #2",,2026-01-01,Operational,
P_TAM08,Camera,"Camera 01/01/2026 P_TAM08 #1",,2026-01-01,Operational,
P_TAM08,Camera,"Camera 01/01/2026 P_TAM08 #2",,2026-01-01,Operational,
P_TAM08,Power Supply,"Power Supply 01/01/2026 P_TAM08 #1",,2026-01-01,Operational,
P_TAM08,Power Supply,"Power Supply 01/01/2026 P_TAM08 #2",,2026-01-01,Operational,
P_TAM08,Hard Drive,"Hard Drive 01/01/2026 P_TAM08 #1",,2026-01-01,Operational,
P_TAM08,Hard Drive,"Hard Drive 01/01/2026 P_TAM08 #2",,2026-01-01,Operational,
P_TAM08,Cable,"Cable 01/01/2026 P_TAM08 #1",,2026-01-01,Operational,
P_TAM08,Cable,"Cable 01/01/2026 P_TAM08 #2",,2026-01-01,Operational,
P_TAM09,DVR,"DVR 01/01/2026 P_TAM09 #1",,2026-01-01,Operational,
P_TAM09,DVR,"DVR 01/01/2026 P_TAM09 #2",,2026-01-01,Operational,
P_TAM09,Camera,"Camera 01/01/2026 P_TAM09 #1",,2026-01-01,Operational,
P_TAM09,Camera,"Camera 01/01/2026 P_TAM09 #2",,2026-01-01,Operational,
P_TAM09,Power Supply,"Power Supply 01/01/2026 P_TAM09 #1",,2026-01-01,Operational,
P_TAM09,Power Supply,"Power Supply 01/01/2026 P_TAM09 #2",,2026-01-01,Operational,
P_TAM09,Hard Drive,"Hard Drive 01/01/2026 P_TAM09 #1",,2026-01-01,Operational,
P_TAM09,Hard Drive,"Hard Drive 01/01/2026 P_TAM09 #2",,2026-01-01,Operational,
P_TAM09,Cable,"Cable 01/01/2026 P_TAM09 #1",,2026-01-01,Operational,
P_TAM09,Cable,"Cable 01/01/2026 P_TAM09 #2",,2026-01-01,Operational,
P_TAM10,DVR,"DVR 01/01/2026 P_TAM10 #1",,2026-01-01,Operational,
P_TAM10,DVR,"DVR 01/01/2026 P_TAM10 #2",,2026-01-01,Operational,
P_TAM10,Camera,"Camera 01/01/2026 P_TAM10 #1",,2026-01-01,Operational,
P_TAM10,Camera,"Camera 01/01/2026 P_TAM10 #2",,2026-01-01,Operational,
P_TAM10,Power Supply,"Power Supply 01/01/2026 P_TAM10 #1",,2026-01-01,Operational,
P_TAM10,Power Supply,"Power Supply 01/01/2026 P_TAM10 #2",,2026-01-01,Operational,
P_TAM10,Hard Drive,"Hard Drive 01/01/2026 P_TAM10 #1",,2026-01-01,Operational,
P_TAM10,Hard Drive,"Hard Drive 01/01/2026 P_TAM10 #2",,2026-01-01,Operational,
P_TAM10,Cable,"Cable 01/01/2026 P_TAM10 #1",,2026-01-01,Operational,
P_TAM10,Cable,"Cable 01/01/2026 P_TAM10 #2",,2026-01-01,Operational,
P_TAM11,DVR,"DVR 01/01/2026 P_TAM11 #1",,2026-01-01,Operational,
P_TAM11,DVR,"DVR 01/01/2026 P_TAM11 #2",,2026-01-01,Operational,
P_TAM11,Camera,"Camera 01/01/2026 P_TAM11 #1",,2026-01-01,Operational,
P_TAM11,Camera,"Camera 01/01/2026 P_TAM11 #2",,2026-01-01,Operational,
P_TAM11,Power Supply,"Power Supply 01/01/2026 P_TAM11 #1",,2026-01-01,Operational,
P_TAM11,Power Supply,"Power Supply 01/01/2026 P_TAM11 #2",,2026-01-01,Operational,
P_TAM11,Hard Drive,"Hard Drive 01/01/2026 P_TAM11 #1",,2026-01-01,Operational,
P_TAM11,Hard Drive,"Hard Drive 01/01/2026 P_TAM11 #2",,2026-01-01,Operational,
P_TAM11,Cable,"Cable 01/01/2026 P_TAM11 #1",,2026-01-01,Operational,
P_TAM11,Cable,"Cable 01/01/2026 P_TAM11 #2",,2026-01-01,Operational,
P_SA01,DVR,"DVR 01/01/2026 P_SA01 #1",,2026-01-01,Operational,
P_SA01,DVR,"DVR 01/01/2026 P_SA01 #2",,2026-01-01,Operational,
P_SA01,Camera,"Camera 01/01/2026 P_SA01 #1",,2026-01-01,Operational,
P_SA01,Camera,"Camera 01/01/2026 P_SA01 #2",,2026-01-01,Operational,
P_SA01,Power Supply,"Power Supply 01/01/2026 P_SA01 #1",,2026-01-01,Operational,
P_SA01,Power Supply,"Power Supply 01/01/2026 P_SA01 #2",,2026-01-01,Operational,
P_SA01,Hard Drive,"Hard Drive 01/01/2026 P_SA01 #1",,2026-01-01,Operational,
P_SA01,Hard Drive,"Hard Drive 01/01/2026 P_SA01 #2",,2026-01-01,Operational,
P_SA01,Cable,"Cable 01/01/2026 P_SA01 #1",,2026-01-01,Operational,
P_SA01,Cable,"Cable 01/01/2026 P_SA01 #2",,2026-01-01,Operational,
P_SA02,DVR,"DVR 01/01/2026 P_SA02 #1",,2026-01-01,Operational,
